"","Sector","Metric","Value","Date_Range","Sector_Metric","Color"
"1","Financial","beta",0.913887657917491,"Range 1","Financial.beta","#1F78B499"
"2","Financial","alpha",-0.0690212956279212,"Range 1","Financial.alpha","#1F78B499"
"3","Financial","volatility",26.4974997959506,"Range 1","Financial.volatility","#1F78B499"
"4","Financial","drawdown",6.79640540379693,"Range 1","Financial.drawdown","#1F78B499"
"5","Healthcare","beta",0.765941903166647,"Range 1","Healthcare.beta","#33A02C99"
"6","Healthcare","alpha",-0.194509457447055,"Range 1","Healthcare.alpha","#33A02C99"
"7","Healthcare","volatility",20.4042364831557,"Range 1","Healthcare.volatility","#33A02C99"
"8","Healthcare","drawdown",5.48897039830552,"Range 1","Healthcare.drawdown","#33A02C99"
"9","Industrial","beta",1.07008775042225,"Range 1","Industrial.beta","#E31A1C99"
"10","Industrial","alpha",0.0578757105654106,"Range 1","Industrial.alpha","#E31A1C99"
"11","Industrial","volatility",27.0508858551575,"Range 1","Industrial.volatility","#E31A1C99"
"12","Industrial","drawdown",7.42158954722165,"Range 1","Industrial.drawdown","#E31A1C99"
"13","Tech","beta",1.11580797943028,"Range 1","Tech.beta","#6A3D9A99"
"14","Tech","alpha",0.0949733528801809,"Range 1","Tech.alpha","#6A3D9A99"
"15","Tech","volatility",27.097931229615,"Range 1","Tech.volatility","#6A3D9A99"
"16","Tech","drawdown",5.88182023998188,"Range 1","Tech.drawdown","#6A3D9A99"
"17","Financial","beta",1.89414443949553,"Range 2","Financial.beta","#1F78B4"
"18","Financial","alpha",0.792886173155946,"Range 2","Financial.alpha","#1F78B4"
"19","Financial","volatility",47.5473708500499,"Range 2","Financial.volatility","#1F78B4"
"20","Financial","drawdown",11.9197396963124,"Range 2","Financial.drawdown","#1F78B4"
"21","Healthcare","beta",0.519543078631671,"Range 2","Healthcare.beta","#33A02C"
"22","Healthcare","alpha",-0.425737701446124,"Range 2","Healthcare.alpha","#33A02C"
"23","Healthcare","volatility",11.513736717785,"Range 2","Healthcare.volatility","#33A02C"
"24","Healthcare","drawdown",2.43198167923731,"Range 2","Healthcare.drawdown","#33A02C"
"25","Industrial","beta",1.18091349373741,"Range 2","Industrial.beta","#E31A1C"
"26","Industrial","alpha",0.163736031734911,"Range 2","Industrial.alpha","#E31A1C"
"27","Industrial","volatility",22.6288872156921,"Range 2","Industrial.volatility","#E31A1C"
"28","Industrial","drawdown",8.98730055356562,"Range 2","Industrial.drawdown","#E31A1C"
"29","Tech","beta",0.876644445465033,"Range 2","Tech.beta","#6A3D9A"
"30","Tech","alpha",-0.110104448336001,"Range 2","Tech.alpha","#6A3D9A"
"31","Tech","volatility",22.4071379941464,"Range 2","Tech.volatility","#6A3D9A"
"32","Tech","drawdown",3.10017991136074,"Range 2","Tech.drawdown","#6A3D9A"
